name,common,area,stock,sex,a,b,lmax,linf,l50,a50,t0,k,source a,source b,Lmax,source Linf,source L50,source A50,source t0,source K,Comment
Mustelus asterias,Starry smooth-hound,Widely,sdv.27.nea,F,0.001,3.27,124,123.5,81.9,,,0.15,Farrell et al 2010,Farrell et al 2010,Farrell et al 2010,Farrell et al 2010,McCully-Phillips 2015,,Farrell et al 2010,Farrell et al 2010,
Raja clavata,Thornback ray,Celtic Seas,rjc.27.afg,F,0.0024,3.2653,104,139.5,71.8,6.13,-1.84,0.09,Silva et al 2013,Silva et al 2013,Gallagher et al 2005,Gallagher et al 2005,Gallagher et al 2005,Gallagher et al 2005,Gallagher et al 2005,Gallagher et al 2005,
Raja clavata,Thornback ray,North Sea,rjc.27.347d,F,0.0045,3.0686,94,118,77.1,,-0.88,0.14,Silva et al 2013,Silva et al 2013,Walker 1999,Walker 1999,Walker 1999,,Walker 1999,Walker 1999,
Sardina pilchardus,Pilchard,Celtic Seas,sardina_pilchardus,C,0.0053,3.162,27.6,22,14.3,,,0.6,Silva et al 2013,Silva et al 2013,Silva et al 2008,Silva et al 2008,Silva et al 2013a,,,Silva et al 2008,Data from Cantabrian Sea & N Portugal
Zeus faber,John Dory,Celtic Seas,zeus_faber,F,0.0399,2.754,,50.8,34.5,,-1.47,0.47,Silva et al 2013,Silva et al 2013,,Dunn 2001,Dunn 2001,,Dunn 2001,Dunn 2001,
Chelidonichtys lucerna,Tub gurnard,Celtic Seas,chelidonichtys_lucerna,F,0.0043,3.21,,66.8,40.1,,-0.46,0.32,Baron 1985a,Baron 1985a,,Baron 1985a,Baron 1985b,,Baron 1985a,Baron 1985a,"Biscay data, few large old"
Spondyliosoma cantharus,Black sea-bream,Celtic Seas,spondyliosoma_cantharus,F,0.0148,3.004,,41.25,22,,-1.16,0.22,Silva et al 2013,Silva et al 2013,,Perdou & Nedelec 1982,Soletchnik 1982,,Perdou & Nedelec 1982,Perdou & Nedelec 1982,Channel/W Channel data
Anarchias lupus,Wolffish,North Sea,anarchias_lupus,F,0.0046,3.185,,115.1,21.5,3.8,-0.39,0.11,Silva et al 2013,Silva et al 2013,,Liao and Lucas 2000,Gunnarsson et al 2006,Gunnarsson et al 2006,Liao and Lucas 2000,Liao and Lucas 2000,E Iceland L50
Scophthalmus rhombus,Brill,North Sea,scophthalmus_rhombus,F,0.014,3.01,,58,31.3,1.6,-0.27,0.38,Silva et al 2013,Silva et al 2013,,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,Van der Hammen et al 2013,
Argentina silus,Greater argentine,Widely,arg-comb-ex5.,C,0.005,3.075,,44,38,8.2,,0.23,Silva et al 2013,Silva et al 2013,,Magnussen 2007,Magnussen 2007,Magnussen 2007,,Magnussen 2007,
Engraulis encrasicolus,Anchovy,Biscay-Iberia,ane-pore,C,0.005,3.107,23,,16.8,,,0.44,Silva et al 2013,Silva et al 2013,Silva et al 2008,,Silva et al 2006,,,Silva et al 2008,"N France, NE Atlantic data"
Lophius budegassa,Black anglerfish,Celtic Seas,ang-78ab,F,0.0259,2.858,,110.1,54.8,9,0.39,0.08,Silva et al 2013,Silva et al 2013,,Landa et al 1998,Duarte et al 1998,Duarte et al 1998,Landa et al 1998,Landa et al 1998,"VIIIc,Ixa data"
Clupea harengus,Herring,Baltic,her-31,F,,,,,,,,,,,,,,,,,
Scopthalmus maximus,Turbot,Celtic Seas,tur-celt,,,,,,,,,,,,,,,,,,
Scophthalmus rhombus,Brill,Baltic,bll-2232,,,,,,,,,,,,,,,,,,
Engraulis encrasicolus,Anchovy,Celtic Seas,,,,,,,,,,,,,,,,,,,
Engraulis encrasicolus,Anchovy,North Sea,,,,,,,,,,,,,,,,,,,
